Coalition,0,0,0,0,LTT,2,Hypr,3,AntVenom,5,Moonduck,1,TaBoy,4,,0.0,RL.Mam,false
Team Water,0,2,0,290116,LordHasek,4,ArmoredWolf,3,Donut,5,AdmiralBulldog,1,BlackSunRising,2,,0.0,Water,false
iHome,0,0,0,0,cdude63,2,Lila,3,MelonBoy,5,Rockasun,1,Winter,4,,0.0,iHome,false
Leviathan,0,0,0,0,Vories,3,Shank Wizard,5,BananerAnner,2,Raykid983,4,Poxie,1,,0.0,Lev,false
Cobalt,0,0,0,111111,RoboticWarfare,5,CodeBullet,3,Master Iris,2,Teresa,1,Sctl,4,,0.0,Cobalt,false
Online Kingdom,0,0,0,0,Dovahhatty,5,Macpot,2,Klamran,1,Jericho,3,BohMasterFlex,4,,0.0,OK,false
Fly To Sun,0,0,0,0,Fluxtrance,1,GDragon,4,Qevehn,3,Chr1s,5,Krabsy,2,,0.0,FTS,false
Detrimentum,0,0,0,0,ToastR,4,Panah,2,Cheesex,5,Mark Rober,1,Eragon,3,,0.0,DETRI,false
Standin.Ovation,0,0,0,1148111,ViperKing,2,Deadmau5,1,Rexus,5,BesternBagger,3,Light Yagami,4,,0.5,Standin,false
Currupt,0,0,0,370000,Fish,5,WhitePancakes,4,Dino,2,Alan Walker,1,Jon Bois,3,,0.0,CRPT,false
Alter Ego,0,0,0,0,JayzTwoCents,3,NightStar451,2,TheShrub,5,Absolute Chad,1,Eleventy 49,4,,0.0,AE,false
Kappa Logic,0,0,0,2200,Pyro314,1,getGood,4,NoobFromUA,2,NTTHRASH,5,SBNation,3,,0.0,Kappa,false
Making New Meta,0,0,0,0,TidalPilot,2,NerdCubed,3,boots,1,CactusLord,4,MrRampage777,5,,0.0,MNM,false
Arctic Penguins,0,0,0,22000,Un1v3rs3,3,FireIce,2,DJ Matty Savage,5,Young Bubba,1,Baumi,4,,0.0,AP,false
Sword of Lothar,0,0,0,12345,EnchantedBBQ,1,Kaiju,5,Huffi,2,4ubyGames,3,Welyn,4,,0.0,Sword,false
DragonStyle,0,0,0,0,Yenser,4,Ox,3,6 God Poppin,5,Ferchu,1,SuperGT,2,,0.0,Dragon,false
The Monarchy,0,0,0,0,KiddingEmporer,1,Slacks,4,DarthDivac,3,Frost,5,Virux8898,2,,0.0,Monarch,false
Triumphirant,0,0,0,0,CharizardX,3,Rune,2,WiffBone,5,Aldas,1,Megaera,4,,0.0,Trium,false
Nirvana,0,0,0,0,Ceave,4,Lugaru,5,Mebat2000,3,Nick Robinson,2,YaBoyRex,1,,0.0,Nirv,false
Virtuous.Pro,0,0,0,22000,Huntio,4,Watafak,3,SuperDotaPlaya,5,EDKH,1,Dusty,2,,0.0,V.P,false
Natus Ludem,0,0,0,0,REaper954,4,Camdawg,2,Quinten,1,Gun Happy Chris,5,Purge,3,,0.0,Na'Lu,false
Bad Axe,0,0,0,3425,Prvg,4,Lemon,2,StarWarsXD,5,3Logan,3,SeamlessR,1,,0.0,BadAxe,false
Manticore,0,0,0,0,Hershey,4,CGP Grey,3,RT,5,SethBling,1,Redtail,2,,0.0,Manti,false
Ninjas in Suits,0,0,0,2200,Zidaur,4,Colton Yates,2,Cultaholic,3,Teekay,5,Sora4Smash,1,,0.0,NIS,false
Carnival Of Filth,0,0,0,0,Refraktia,3,Lethamyr,4,SuperSaltyChips,5,Hackstrong,2,n430,1,,0.0,COF,false
Dwarven Inc.,0,0,0,0,Minigrocks,3,LastOfMyKind,1,Joey Nitro,2,Ravioli,4,Civilis,5,,0.0,Dwarf,false
Team Public,0,0,0,0,2bd,5,UDOJ,1,Mizm,2,EmpLemon,3,Nebula,4,,0.0,Public,false
Valkyrie,0,0,0,0,Krowlok,4,Rambo,2,GrayStillPlays,1,Genikai,3,MarySavage,5,,0.0,VALK,true
Notorius,0,0,0,0,CaptainSparklez,3,Kamathon Kamstar,4,Michael Rodgers,1,DarkViperAU,5,Bran Flakes,2,,0.0,Coali,false
Rust & Ruin,0,0,1,1666666,Nett,1,CamaroMC,4,JK,5,Weaboo Jones,3,Xeno,2,,1.0,R&R,false
Winning Formula,0,0,0,0,Chain Bear,3,DougDoug,1,JTalon,4,Antonim,5,Vodka Challenger,2,,0.0,WF,false
The Hidden,0,0,0,3425,Currupt,3,Obelisk,5,Spirit,4,Debruyne,2,Aylienne,1,,0.0,Hidden,false
